sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 10:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 10:00"
日月潭,4.08,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 10:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 10:00"
塔塔加,3.3,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 10:00"
嘉義,4.91,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 10:00"
金門,2.36,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 10:00"
恆春,5.42,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 10:00"
臺北,3.42,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 10:00"
朴子,4,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 10:00"
臺東,3.45,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 09:00"
臺北,1.66,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 09:00"
成功,2.83,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 09:00"
玉山,3.62,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 09:00"
澎湖,2.81,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 09:00"
新竹,2.39,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 09:00"
金門,1.31,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 09:00"
宜蘭,4.65,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 09:00"
恆春,4.43,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 09:00"
嘉義,3.46,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 09:00"
高雄,2.88,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 09:00"
基隆,1.32,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 09:00"
日月潭,4.16,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 09:00"
花蓮,3.22,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 09:00"
馬祖,1.56,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 09:00"
臺南,0.83,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 09:00"
新屋,2.78,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 09:00"
臺中,3.32,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 09:00"
蘭嶼,3.29,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 09:00"
鞍部,2.59,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 09:00"
朴子,3,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 09:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 09:00"
彰化,3,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 09:00"
新營,3,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 09:00"
沙鹿,3,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 09:00"
斗六,4,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 09:00"
南投,3,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 09:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 09:00"
塔塔加,2.8,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 09:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 09:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 09:00"
